Ntriples,Ntrials,Mean Query2(ms), Std Query2(ms), Nres Query2,Mean Query3(ms), Std Query3(ms), Nres Query3,Mean Query4(ms), Std Query4(ms), Nres Query4,Mean Query5(ms), Std Query5(ms), Nres Query5,Mean Query6(ms), Std Query6(ms), Nres Query6,Mean Query7(ms), Std Query7(ms), Nres Query7
168417,10,1.20,0.40,1,4.10,0.70,16,0.70,0.46,1,5274.10,1145.03,1,5467.70,619.03,10,223.50,33.27,10
169361,10,1.30,0.46,1,3.30,0.64,16,0.60,0.49,1,5306.90,590.04,2,5417.50,605.80,10,209.10,36.15,10
170362,10,1.30,0.46,1,3.60,0.80,16,0.80,0.40,1,5305.10,825.56,2,5423.40,833.69,10,236.90,50.78,10
171313,10,1.20,0.40,1,4.00,0.89,16,1.50,0.50,4,5142.20,795.32,1,5433.50,504.96,10,238.40,53.54,10
172256,10,4.40,0.66,16,1.30,0.46,1,0.70,0.46,1,5290.00,694.32,2,5513.60,561.61,10,216.80,56.47,10
173222,10,4.60,0.49,16,3.20,0.75,16,0.80,0.40,4,5619.80,804.73,1,5736.50,954.81,10,224.50,41.31,10
174223,10,1.40,0.49,1,3.80,1.08,16,0.90,0.30,4,5402.10,536.08,2,5574.50,591.11,10,368.90,418.71,10
175210,10,3.80,0.75,16,4.80,0.60,16,0.90,0.54,1,5675.30,1001.06,2,5946.70,556.99,10,235.40,40.70,10
176162,10,1.00,0.63,1,5.30,1.10,16,0.60,0.49,1,5724.90,888.82,2,5694.50,874.57,10,227.30,38.47,10
177165,10,1.30,0.46,1,8.90,16.72,16,1.20,0.60,4,6265.20,1390.55,2,6062.40,1105.24,10,209.60,26.29,10
178126,10,1.20,0.40,1,1.20,0.40,1,0.80,0.40,1,6163.70,1052.40,1,6122.80,1228.15,10,973.50,900.55,10
179031,10,3.30,0.78,16,1.40,0.49,1,1.50,0.50,4,6285.90,1420.72,1,5961.20,1104.51,10,361.30,462.12,10
179972,10,1.30,0.46,1,1.10,0.30,1,1.00,0.00,4,6154.70,1347.38,1,6822.80,1163.55,10,923.40,602.51,10
180926,10,0.90,0.54,1,3.80,0.75,16,0.90,0.30,1,8254.90,3987.88,1,8920.40,5296.77,10,215.90,32.57,10
181928,10,3.90,0.70,16,3.20,0.87,16,1.30,0.46,4,10556.30,5429.05,2,6923.70,2523.50,10,238.50,55.27,10
182934,10,3.90,1.04,16,1.00,0.00,1,0.70,0.46,1,9748.70,3856.51,1,13792.40,7590.42,10,314.80,359.29,10
183908,10,1.20,0.40,1,1.50,0.50,1,0.70,0.46,1,7226.00,2059.89,2,14355.00,8104.35,10,857.30,619.20,10
184837,10,1.20,0.40,1,1.40,0.49,1,0.80,0.60,1,9352.90,3313.40,2,9801.60,5649.20,10,928.50,613.17,10
185828,10,4.70,0.78,16,1.10,0.54,1,0.60,0.49,1,12456.70,3283.92,2,14991.60,7416.10,10,237.00,52.53,10
186766,10,1.00,0.00,1,1.10,0.30,1,0.60,0.49,1,8693.40,2366.86,1,9466.80,1740.17,10,190.60,24.31,10
187700,10,1.40,0.49,1,3.70,0.90,16,0.80,0.40,1,7458.80,3096.36,2,8798.00,3254.87,10,605.60,644.97,10
